INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at spade.reporter.FusionFUSE.createProgramVertex(FusionFUSE.java:175)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at spade.reporter.FusionFUSE.checkProgramTree(FusionFUSE.java:278)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at spade.reporter.FusionFUSE.read(FusionFUSE.java:321)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Putting WasTransferredFrom egde:
INFO   | jvm 1    | 2012/10/01 14:51:35 | type:WasTransferredFrom
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE read
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Putting File vertext: 
INFO   | jvm 1    | 2012/10/01 14:51:35 | type:Artifact|subtype:File|hostaddress:127.0.0.1|filename:love|path:/love|size:0|lastmodified_unix:0|lastmodified_simple:Wed Dec 31 18:00:00 1969
